metric,actual_value,unit
Overall Pixel Accuracy,0.9917964935302734,ratio
Background Dice,0.9955836452410756,ratio
Pancreas Dice,0.9618391049357217,ratio
Tumor Dice,0.9775582519048882,ratio
Mean Foreground Dice,0.969698678420305,ratio
Background IoU,0.9912061273435071,ratio
Pancreas IoU,0.926483659236817,ratio
Tumor IoU,0.9561016593132617,ratio
Pancreas HD95,1.4142135623730951,pixels
Tumor HD95,1.0,pixels
MCC,0.9611831050780538,score
