fold,overall_accuracy,background_dice,pancreas_dice,tumor_dice,mean_foreground_dice,pancreas_iou,tumor_iou,mcc
1,0.9061109754774306,0.9507164542833637,0.013808719538221978,0.0,0.006904359769110989,0.006952361373276964,0.0,0.0777600425378816
2,0.90350341796875,0.9497264750254103,0.0005938462680472491,0.0,0.00029692313402362454,0.0002970113235566555,0.0,0.046256395205111545
3,0.9379673004150391,0.9806191041007247,0.6295881887399191,0.03407901948082603,0.33183360411037255,0.4594153257924846,0.017334887728715425,0.6385070922903763
4,0.9030857086181641,0.949057926043701,0.006952872688374107,0.0,0.0034764363441870537,0.0034885641152663928,0.0,0.05472169412417486
5,0.8989810943603516,0.9474715778025835,0.0,0.000499500499499252,0.000249750249749626,0.0,0.00024981264051898624,0.03661482946364078
