metric,actual_value,unit
Overall Pixel Accuracy,0.9896755218505859,ratio
Background Dice,0.9953808629583955,ratio
Pancreas Dice,0.9544710294194481,ratio
Tumor Dice,0.836389616574379,ratio
Mean Foreground Dice,0.8954303229969136,ratio
Background IoU,0.9908042025653483,ratio
Pancreas IoU,0.912907299823034,ratio
Tumor IoU,0.7187883749473623,ratio
Pancreas HD95,2.23606797749979,pixels
Tumor HD95,128.0,pixels
MCC,0.9509617001335811,score
